3389,Cream,Police,,
3390,THESE ARE THE DAYS OF OUR LIVES,QUEEN,,
3393,DIRTY LAUNDRY,DON HENNLEY,,
3401,Down Under,Men At Work,,
3407,Dream A Little Dream,Beautiful South,,
3408,DREAMS,EDWARD VAN HALEN,,
3411,Eight Miles High,The Byrds,,
3413,ELEANOR RIGBY,BEATLES,,
3415,Everybody's Talkin',Harry Nilson,,
3420,Faithfully,Journey,,
3421,Can't Help Falling In Love,Elvis Presley,,
3424,Ferry Cross The Mecry,Gerry And The Pacemaker,,
3429,Fortunate Son,CCR,,
3438,Gimme Three Steps,Lynard Skynard,,
3441,Gold Dust Woman,Stevie Nicks,,
3442,Good,Better Than Ezra,,
3443,Good Times Bad Times,Led Zeppelin,,
3446,She's Got The Power,Sailormoon US,,
3453,Into The Wide Open,Tom Petty,,
3457,Happy Xmas (War Is Over),"John  & Yoko, The Plastic Ono Band",,
3459,Heart Of Glass,Blondie,,
3460,The Headline News,Weird Al,,
3461,Head Over Feet,Alanis Morisette,,
3462,Heart Shape Box,Nirvana,,
3466,Hey Tonight,CCR,,
3469,House Of The Rising Sun,Animals,,
3471,I Can't Dance,Genesis,,
3475,I HEAR YOU KNOCK,FATS DOMINO,,
3476,Immigrant Song,Led Zeppelin,,
3481,In Too Deep,Phil Collins,,
3485,Its I His Kiss,Cher,,
3487,I Was Made For Loving You,Kiss,,
3497,Bad Case Of Loving You,Robert Palmer,,
3501,Kansas City,Fats Domino,,
3502,Kayleigh,Marillion,,
3508,Lady Jane,Rolling Stones,,
3510,LAGRANGE,ZZ TOP,,
3511,Lake Of Fire,Nirvana,,
3517,Lithium,Nirvana,,
3518,Live And Let Die,Guns N' Roses,,
3519,THE LOGICAL SONG,SUPERTRAMP,,
3520,LOLA,THE KINKS,,
3524,Losing My Religion,R.E.M.,,
3531,MACARTHUR PARK,JIM WEBB,,
3536,MARGARITAVILLE,JIMMY BUFFET,,
3539,Memphis Tenessy,Johnny Rivers,,
3540,Message In A Bottle,Police,,
3550,Please Mr. Postman,Carpenters,,
3555,My Generation,The Who,,
3561,November Rain,Guns N' Roses,,
3568,Paint It Black,Rolling Stones,,
3569,Papa Don't Preach,Madonna,,
3570,Peg,Steely Dan,,
3572,Penny Royal Tea,Nirvana,,
3579,Pulling Teeth,Green Day,,
3580,PURPLE HAZE,JIMI HENDRIX,,
3583,Rape Me,Nirvana,,
3587,You Really Got Me,The Nicks,,
3590,Revolution,The Beatles,,
3592,Riders On The Storm,Doors,,
3597,We Will Rock You,Queen,,
3602,"Ruby, Don't Take Your",Elvis Prestley,,
3611,SHATTERED DREAMS,JOHNNY HATES JAZZ,,
3615,SHOULD I STAY OR SHOULD I GO,THE CLASH,,
3619,SINCE I'VE BEEN LOVING YOU,LED ZEPPELIN,,
3621,Sledge Hammer,Peter Gabriel,,
3626,So Loney,Police,,
3629,SON OF A SON OF A..,JIMMY BUFFET,,
3632,Spinning Wheel,And Tears,,
3633,SPIRITS IN THE..,THE POLICE,,
3634,Spirits In The Material World,Police,,
3637,Strange Currencies,R.E.M.,,q
3640,Summer In The City,Joe Cocker,,
3643,SUPERSTITIOUS,STEVIE WONDER,,
3648,Sweet home Alabama,Lynard Skynard,,
3650,Take It On The Run,REO SPEEDWAGON,,
3652,The Beat Goes On,Sonny & Cher,,
3653,Smells Like Teen Spirit,Nirvana,,
3654,Try A Little Tenderness,Kiss,,
3656,That'll Be The Day,LINDA RONSTADT,,
3660,Simply The Best,Tina Turner,,
3662,The Man Who Sold The World,Nirvana,,
3665,THE RIVER,BRUCE SPRINGSTEEN,,
3666,These Boots Are Made For Walkin',Nancy Sinatra,,
3670,That Thing You Do,The Wonders,,
3671,The Thin Ice,Pink Floyd,,
3678,Two Out Of Three Ain't Bad,Meatloaf,,
3681,Under Pressure,Queen,,
3682,Under The Bridge,Red Hot Chili Peppers,,
3685,Walking On The Moon,Police,,
3687,ANOTHER BRICK IN THE,PINK FLOYD,,
3689,The Wanderer,Dion,,
3693,WE BUILT THIS CITY,JEFFERSON STARSHIP,,
3694,WE CAN WORK IT OUT,BEATLES,,
3700,When I Come Around,Greenday,,
3703,Whipping Post,Allman Brothers,,
3707,Whole Lotta Love,Led Zeppelin,,
3710,The Wind Cries Mary,Jimmy Hendrix,,
3713,Witchy Woman,Eagles,,
3720,Wrapped Around Your Finger,Police,,
3723,Yellow Brick Road,Elton John,,
3724,You Can Leave Your Hat On,Joe Cocker,,
3725,You Drive Me Crazy,Shakin Stevens,,
3729,Your Time Is Gonna Come,Led Zeppelin,,
3731,You've Lost That Lovin' Feeling,Righteous Brothers,,
3732,Your Wildest Dreams,Moody Blues,,
3751,Ulan,Rivermaya,,
3775,BLASK AND WHITE,3 DOG NIGHT,,
3788,Changes,Black Sabbath,,
3801,DARKTOWN STRUTTERS BALL,FATS DOMINO,,
3811,DREAM POLICE,CHEAP TRICK,,
3857,HOT CHILD IN THE CITY,NICK GILDER,,
3858,Hot Stuff,Donna Summer,,
3871,I Understand,Herman's Hermit,,
3872,I want to walk you home,Fats Domino,,
3876,I'm Gonna Be A Wheel,Fats Domino,,
3904,July Morning,Uriah Heep,,
3928,LOAD OUT & STAY,Jackson Brown,,
3931,Longer Than,Dan Fogelberg,,
3987,Oh Pretty Woman,Roy Orbison,,
3988,Oh Pretty Woman,Roy Orbison,,
3995,ONCE BITTEN TWICE SHY,GREAT WHITE,,
3999,Original Prankster,Offspring,,
4017,Poor man's moody blues,Barclay James Harvest,,
4038,REFLECTIONS OF MY LIFE,Marmalade,,
4045,Rhiannon,Fleetwood Mac,,
4059,SATURDAY NIGHT,BAY CITY ROLLERS,,
4095,Starting Over,John Lennon,,
4110,The Best Of Times,Styx,,
4120,THE KID IS HOT TONITE,LOVER BOY,,
4133,THE TEMPLE OF THE KING,RAINBOW,,
4145,Twist And Shout,The Beatles,,
4174,WHO CAN IT BE NOW,MEN AT WORK,,
4175,WHO'S CRYIN' NOW,JOURNEY,,
4176,Whole Lotta Loving,Fats Domino,,
4195,DOWN ON THE CORNER,CCR,,
4204,Have you Ever Seen The Rain,CCR,,
4206,HOPE YOU'RE FEELING BETTER,SANTANA,,
4210,I Still Haven't Found What Im Looking For,U2,,
4211,I WANT YOU...,ELVIS PRESLEY,,
4214,IF YOU LOVE SOMEBODY SET THEM FREE,STING,,
4225,Kung Ikaw,Lito Camo,q,
4233,ONE,U2,,
4235,PRIDE,U2,,
4244,SUNDAY BLOODY SUNDAY,U2,,
4245,Sweet Little 16,Chuck Berry,,
4250,Walkin' The Dog,Rolling Stones,,
4253,WHITE ROOM,ERIC CLAPTON,,
4256,CRASH BOOM BANG,ROXETTE,,
4257,CINNAMON GIRL,NEIL YOUNG,,
4266,25 6 to 4,Chicago,,
4272,START ME UP,THE ROLLING STONES,,
4275,Hey Tonight,CCR,,
4288,Tears In Heaven,Eric Clapton,,
4311,The Animal Song,Savage Garden,,
4319,Iris,Goo Goo Dolls,,
4322,Buses And Train,Bachelor Girl,,
4331,Always Something There To Remind Me,Naked Eyes,,
4354,ONE OF US,JOAN OSBOURNE,,
4362,Head Over Feet,Alanis Morissette,,
4391,A Big Hunk O' Love,Elvis Presley,,
4403,All Day And All Of The Night,The Kinks,,
4405,You're All I Need,White Lion,,
4429,BLACK NIGHT,DEEP PURPLE,,
4433,BLUEBIRD,PAUL McCARTNEY,,
4434,Bohemian Rhapsody,Queen,,
4435,BOHEMIAN RHAPSODY,QUEEN,,
4460,Fool's Parade,Tom Petty,,
4471,GET DOWN MAKE LOVE,Freddie Mercury,,
4473,GETTING CLOSER,PAUL McCARTNEY,,
4482,GOODNIGHT TONIGHT,WINGS,,
4495,HEART FULL OF SOUL,THE YARDBIRDS,,
4502,HOLD ME,MENUDO,,
4508,HOT CHILD IN THE CITY,NICK GILDER,,
4511,HOW DO YOU DO!,Per Gessle,,
