#,Title,Artist,opm,english,k-pop,rock,slow rock,alternative,country,pop,edm/techno,hiphop/rap,rnb/soul,love song,power ballad,reggae/ska,novelty,folk,,
130,Pag-Ibig Na Walang Dangal,Eva Eugenio,q,,,,,,,q,,,,,,,,,,
131,Hanggang Ngayo'y Ikaw Pa Rin,Jaya,q,,,,,,,q,,,q,,,,,,,
132,Kung Puwede Lang Sana,White Lies,q,,,,,,,q,,,,,,,,,,
133,Kapaligiran,Asin,q,,,,,,,,,,,,,,,q,,
134,Tukso,Sunshine Cruz,q,,,,,,,q,,,,,,,,,,
135,Wala Na Bang Pag-ibig,Jaya,q,,,,,,,,,,q,,,,,,,
136,Esperanza,April Boy Regino,q,,,,,,,q,,,,,,,,,,
137,Itanong Mo Sa Mga Bata,Asin,q,,,,,,,,,,,,,,,q,,
138,Kapantay Ay Langit,Pilita Corrales,q,,,,,,,,,,,,,,,,,
139,Lagim,Siakol,q,,,q,,,,q,,,,,,,,,,
140,Dahil Ba Sa Kanya,Jaya,q,,,,,,,q,,,q,,,,,,,
141,Di Ba't Ikaw,Jessa Zaragosa,q,,,,,,,,,,,,,,,,,
142,Paano Ba Aaminin,Jessa Zaragosa,q,,,,,,,,,,,,,,,,,
143,Paano Kaya,Jessa Zaragoza,q,,,,,,,,,,,,,,,,,
144,Tayong Dalawa,Rey Valera,q,,,,q,,,q,,,,,,,,,,
145,On Top Of Spaghetti,Traditional,,,,,,,,,,,,,,,,,,
146,I Left My Heart in San Francisco,Tony Bennett,,q,,,,,,q,,,,,,,,,,
147,How Can You Mend,Bee Gees,,q,,,q,,q,q,,,,,,,,q,,
148,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES,,q,,,q,,,q,,,,,,,,,,
149,You Don't Have To Say You Love Me,Vic Damone,,q,,,,,,q,,,,,,,,,,
150,TENNESSEE WALTZ,PATTI PAGE,,q,,,,,q,q,,,,,,,,,,
151,Mahal Na Mahal Kita,Aegis,q,,,q,,,,,,,,,,,,,,
152,To All The Girls Ive Loved Before,Julio Iglesias,,,,,,,,,,,,,,,,,,
153,How Am I Supposed To Live Without You,Laura Branigan,,q,,,,,,q,,,,,,,,,,
154,The Most Beautiful Girl In The World,Prince,,q,,,,,,q,,,q,,,,,,,
155,Regrets,Fra Lippo Lippi,,q,,,,,,q,,,,,,,,,,
156,NEW YORK NEW YORK,FRANK SINATRA,,q,,,,,,q,,,,,,,,,,
157,By The Time I Get To Phoenix,,,,,,,,,,,,,,,,,,,
158,Stay,Shakespear's Sister,,,,,,q,,,,,,,,,,,,
159,God Bless USA,J. Ford,,q,,,,,q,,,,,,,,,,,
160,Tie A Yellow Ribbon Round The Old Oak Tree,Tony Orlando,,q,,,,,,q,,,,,,,,,,
161,Don't It Make My Brown Eyes Blue,Crystal Gale,,q,,,,,q,,,,,,,,,,,
162,The First Time Ever I So Your Face,Roberta Flack,,q,,,,,,,,,q,,,,,,,
163,Lucy In The Sky With Diamonds,The Beatles,,q,,,,,,q,,,,,,,,,,
164,Spring Summer Winter and fall,Aphrodite's Child,,q,,q,,,,,,,,,,,,,,
165,Raindrops Keeps Fallin' On My Head,J. Thomas,,q,,,q,,,q,,,,,,,,,,
166,Beautiful Sunday,Daniel Boone,,q,,,,,,q,,,,,,,,,,
167,Help Me Make It Through The Night,Kris Kristofferson,,q,,,,,q,,,,,,,,,,,
168,Nothing's Gonna Change My Love For You,Glen Medeiros,,q,,q,,,,q,,,,,,,,,,
169,Have I Told You Lately,Rod Stewart,,q,,,q,,,,,,,,,,,,,
170,I Just Can't Stop Loving You,Michael Jackson,,q,,,q,,,q,,,,,q,,,,,
171,Another Night,Real McCoy,,,,,,,,,,,,,,,,,,
172,Strong Enough,Sheryl Crow,,q,,q,,,,,,,,,,,,,,
173,MAY CRUSH AKO SA'YO,CINDERELLA,q,,,,,,,q,,,,,,,,,,
174,Reaching Out,Gary Valenciano,q,,,,,,,q,,,,,,,,,,
175,Tanging Mahal,Regine Velasquez,q,,,,,,,q,,,,,,,,,,
176,Sa'yo Lamang,Joey Albert,q,,,,,,,,,,,,,,,,,
177,Lumayo Ka Man,Rodel Naval,q,,,,,,,,,,,,,,,,,
178,Mr. Kupido,Rachel Alejandro,q,,,,,,,q,q,,,,,,,,,
180,Choto Matte Kudesai,Sex Bomb,q,,,,,,,q,q,,,,,,q,,,
181,Don't Cry Joni,Conway Twitty and Joni Lee,,q,,,,,q,,,,,,,,,,,
182,DONNA DONNA,JOAN BAES,q,,,,,,,,,,,,,,,,,
183,ESCAPADE,JANET JACKSON,,q,,,,,,,,,q,,,,,,,
184,I WILL FOLLOW HIM,PETULA CLARK,,q,,,,,,q,,,,,,,,,,
185,I'm A Believer,Neil Diamonds/The Monkees,,q,,q,,,,,,,,,,,,,,
186,I'm Sorry,Brenda Lee,,q,,,,,q,q,,,,,,,,,,
187,Indian Reservation,Paul Revere,,q,,q,,,,,,,,,,,,,,
188,Johnny Angel,Shelly Fabaraes,,,,,,,,q,,,,,,,,,,
189,Killing Me Softly With His Song,Roberta Flack,,q,,,,,,,,,q,,,,,,,
190,Lambada,Kaoma,,,,,,,,,,,,,,,,,,
191,Le Freak,Chic,,q,,,,,,,,,q,,,,,,,
192,Listen To The Music,Doobie Brothers,,q,,q,,,,,,,q,,,,,,,
193,LITTLE DARLIN',MAURICE WILLIAMS,,q,,q,,,,,,,q,,,,,,,
194,Me & You & Dog Named Boo,,,,,,,,,,,,,,,,,,,
195,Nights In White Satin,Moody Blues,,q,,q,,,,,,,,,,,,,,
196,Oh Lonesome Me,Victor Wood,q,,,,,,q,,,,,,,,,,,
197,One,Three Dog Knight,,q,,q,,,,,,,,,,,,,,
198,Pretty Little Baby,,,,,,,,,,,,,,,,,,,
199,Romeo And Juliet,Dire Strait,,q,,q,,,,,,,,,,,,,,
200,SILVER THREADS AND GOLDEN NEEDLES,,,,,,,,,,,,,,,,,,,
202,Speak Softly Love,Andy Williams,,q,,,,,,q,,,,,,,,,,
203,Morning After,C. Davis,,q,,,,,,q,,,,,,,,,,
204,The River Of No Return,N. Villanueva,,,,,,,,,,,,,,,,,,
205,The Wedding,Julie Rogers,,q,,,,,,,,,,,,,,,,
207,TO YOU,Leslie Chung,,q,,,,,,q,,,,,,,,,,
208,Tom Dooley,Bob Weirs,,q,,,,,,,,,,,,,,q,,
209,"Turn, Turn, Turn",The Byrds,,q,,,,,,,,,,,,,,q,,
210,Where Have All The Flowers Gone,Kingston Trio,,q,,,,,,,,,,,,,,q,,
211,Young Love,Tab Hunter,,q,,q,,,,q,,,,,,,,,,
212,Solitary Man,Neil Diamond,,q,,q,,,,,,,,,,,,,,
214,Another Day In Paradise,Phil Collins,,q,,,,,,q,,,,,,,,,,
215,Glory Of Love,Peter Cetera,,q,,q,,,,q,,,,,,,,,,
216,Hold The Line,Toto,,q,,q,,,,,,,,,,,,,,
217,I'M NOT IN LOVE,10CC,,q,,,q,,,,,,,,,,,,,
218,Jump,Van Halen,,q,,q,,,,,,,,,,,,,,
219,Pers Lab (1975 Original Version),Hotdog,q,,,,,,,,,,,,,,,,,
220,Sinayang Mo,Reigh Albert,q,,,,,,,q,,,,,,,,,,
222,Isipin Mo,Jett Pangan,q,,,,,,,,,,,,,,,,,
223,Line To Heaven,Introvoys,q,,,q,,q,,,,,,,,,,,,
224,Handyman,James Taylor,,q,,,,,,,,,,,,,,,,
225,FEEL LIKE MAKING LOVE,ROBERTA FLACK,,q,,,,,,q,,,q,,,,,,,
226,Foolish Heart,Steve Perry,,q,,,q,,,,,,,,,,,,,
227,Tie A Yellow Ribbon Round The Old Oak Tree,Tony Orlando,,q,,,,,,q,,,,,,,,,,
228,The Sign,Aace Of Base,,q,,,,,,,q,,,,,q,,,,
229,Love,John Lennon,,q,,,q,,,,,,,,,,,,,
230,Surfin' U.S.A,Beach Boys,,q,,,,,,q,,,,,,,,,,
231,Lady Love,Lou Rawls,,q,,,,,,,,,q,,,,,,,
232,Only Remind Me Of You,St. Paul,q,,,,,,,q,,,,,,,,,,
233,Money For Nothing,Dire Strait,,q,,q,,,,,,,,,,,,,,
234,Parting Time,Rockstar,q,,,,q,,,q,,,,,,,,,,
235,You'd Be So Nice To Come,FRANK SINATRA,,q,,,,,,,,,,,,,,,,
236,YOU'LL NEVER FIND ANOTHER LOVE LIKE MINE,LOU RAW,,q,,,,,,,,,q,,,,,,,
